"","Chatelier_gut_obesity","Chatelier_gut_obesity.1","Chatelier_gut_obesity.2","Chatelier_gut_obesity.3","Chatelier_gut_obesity.4","Chatelier_gut_obesity.5","Chatelier_gut_obesity.6","Chatelier_gut_obesity.7","Chatelier_gut_obesity.8","Chatelier_gut_obesity.9","Chatelier_gut_obesity.10","Chatelier_gut_obesity.11","Chatelier_gut_obesity.12","Chatelier_gut_obesity.13","Chatelier_gut_obesity.14","Chatelier_gut_obesity.15","Chatelier_gut_obesity.16","Chatelier_gut_obesity.17","Chatelier_gut_obesity.18","Chatelier_gut_obesity.19","Chatelier_gut_obesity.20","Chatelier_gut_obesity.21","Chatelier_gut_obesity.22","Chatelier_gut_obesity.23","Chatelier_gut_obesity.24","Chatelier_gut_obesity.25","Chatelier_gut_obesity.26","Chatelier_gut_obesity.27","Chatelier_gut_obesity.28","Chatelier_gut_obesity.29","Chatelier_gut_obesity.30","Chatelier_gut_obesity.31","Chatelier_gut_obesity.32","Chatelier_gut_obesity.33","Chatelier_gut_obesity.34","Chatelier_gut_obesity.35","Chatelier_gut_obesity.36","Chatelier_gut_obesity.37","Chatelier_gut_obesity.38","Chatelier_gut_obesity.39","Chatelier_gut_obesity.40","Chatelier_gut_obesity.41","Chatelier_gut_obesity.42","Chatelier_gut_obesity.43","Chatelier_gut_obesity.44","Chatelier_gut_obesity.45","Chatelier_gut_obesity.46","Chatelier_gut_obesity.47","Chatelier_gut_obesity.48","Chatelier_gut_obesity.49","Chatelier_gut_obesity.50","Chatelier_gut_obesity.51","Chatelier_gut_obesity.52","Chatelier_gut_obesity.53","Chatelier_gut_obesity.54","Chatelier_gut_obesity.55","Chatelier_gut_obesity.56","Chatelier_gut_obesity.57","Chatelier_gut_obesity.58","Chatelier_gut_obesity.59","Chatelier_gut_obesity.60","Chatelier_gut_obesity.61","Chatelier_gut_obesity.62","Chatelier_gut_obesity.63","Chatelier_gut_obesity.64","Chatelier_gut_obesity.65","Chatelier_gut_obesity.66","Chatelier_gut_obesity.67","Chatelier_gut_obesity.68","Chatelier_gut_obesity.69","Chatelier_gut_obesity.70","Chatelier_gut_obesity.71","Chatelier_gut_obesity.72","Chatelier_gut_obesity.73","Chatelier_gut_obesity.74","Chatelier_gut_obesity.75","Chatelier_gut_obesity.76","Chatelier_gut_obesity.77","Chatelier_gut_obesity.78","Chatelier_gut_obesity.79","Chatelier_gut_obesity.80","Chatelier_gut_obesity.81","Chatelier_gut_obesity.82","Chatelier_gut_obesity.83","Chatelier_gut_obesity.84","Chatelier_gut_obesity.85","Chatelier_gut_obesity.86","Chatelier_gut_obesity.87","Chatelier_gut_obesity.88","Chatelier_gut_obesity.89","Chatelier_gut_obesity.90","Chatelier_gut_obesity.91","Chatelier_gut_obesity.92","Chatelier_gut_obesity.93","Chatelier_gut_obesity.94","Chatelier_gut_obesity.95","Chatelier_gut_obesity.96","Chatelier_gut_obesity.97","Chatelier_gut_obesity.98","Chatelier_gut_obesity.99","Chatelier_gut_obesity.100","Chatelier_gut_obesity.101","Chatelier_gut_obesity.102","Chatelier_gut_obesity.103","Chatelier_gut_obesity.104","Chatelier_gut_obesity.105","Chatelier_gut_obesity.106","Chatelier_gut_obesity.107","Chatelier_gut_obesity.108","Chatelier_gut_obesity.109","Chatelier_gut_obesity.110","Chatelier_gut_obesity.111","Chatelier_gut_obesity.112","Chatelier_gut_obesity.113","Chatelier_gut_obesity.114","Chatelier_gut_obesity.115","Chatelier_gut_obesity.116","Chatelier_gut_obesity.117","Chatelier_gut_obesity.118","Chatelier_gut_obesity.119","Chatelier_gut_obesity.120","Chatelier_gut_obesity.121","Chatelier_gut_obesity.122","Chatelier_gut_obesity.123","Chatelier_gut_obesity.124","Chatelier_gut_obesity.125","Chatelier_gut_obesity.126","Chatelier_gut_obesity.127","Chatelier_gut_obesity.128","Chatelier_gut_obesity.129","Chatelier_gut_obesity.130","Chatelier_gut_obesity.131","Chatelier_gut_obesity.132","Chatelier_gut_obesity.133","Chatelier_gut_obesity.134","Chatelier_gut_obesity.135","Chatelier_gut_obesity.136","Chatelier_gut_obesity.137","Chatelier_gut_obesity.138","Chatelier_gut_obesity.139","Chatelier_gut_obesity.140","Chatelier_gut_obesity.141","Chatelier_gut_obesity.142","Chatelier_gut_obesity.143","Chatelier_gut_obesity.144","Chatelier_gut_obesity.145","Chatelier_gut_obesity.146","Chatelier_gut_obesity.147","Chatelier_gut_obesity.148","Chatelier_gut_obesity.149","Chatelier_gut_obesity.150","Chatelier_gut_obesity.151","Chatelier_gut_obesity.152","Chatelier_gut_obesity.153","Chatelier_gut_obesity.154","Chatelier_gut_obesity.155","Chatelier_gut_obesity.156","Chatelier_gut_obesity.157","Chatelier_gut_obesity.158","Chatelier_gut_obesity.159","Chatelier_gut_obesity.160","Chatelier_gut_obesity.161","Chatelier_gut_obesity.162","Chatelier_gut_obesity.163","Chatelier_gut_obesity.164","Chatelier_gut_obesity.165","Chatelier_gut_obesity.166","Chatelier_gut_obesity.167","Chatelier_gut_obesity.168","Chatelier_gut_obesity.169","Chatelier_gut_obesity.170","Chatelier_gut_obesity.171","Chatelier_gut_obesity.172","Chatelier_gut_obesity.173","Chatelier_gut_obesity.174","Chatelier_gut_obesity.175","Chatelier_gut_obesity.176","Chatelier_gut_obesity.177","Chatelier_gut_obesity.178","Chatelier_gut_obesity.179","Chatelier_gut_obesity.180","Chatelier_gut_obesity.181","Chatelier_gut_obesity.182","Chatelier_gut_obesity.183","Chatelier_gut_obesity.184","Chatelier_gut_obesity.185","Chatelier_gut_obesity.186","Chatelier_gut_obesity.187","Chatelier_gut_obesity.188","Chatelier_gut_obesity.189","Chatelier_gut_obesity.190","Chatelier_gut_obesity.191","Chatelier_gut_obesity.192","Chatelier_gut_obesity.193","Chatelier_gut_obesity.194","Chatelier_gut_obesity.195","Chatelier_gut_obesity.196","Chatelier_gut_obesity.197","Chatelier_gut_obesity.198","Chatelier_gut_obesity.199","Chatelier_gut_obesity.200","Chatelier_gut_obesity.201","Chatelier_gut_obesity.202","Chatelier_gut_obesity.203","Chatelier_gut_obesity.204","Chatelier_gut_obesity.205","Chatelier_gut_obesity.206","Chatelier_gut_obesity.207","Chatelier_gut_obesity.208","Chatelier_gut_obesity.209","Chatelier_gut_obesity.210","Chatelier_gut_obesity.211","Chatelier_gut_obesity.212","Chatelier_gut_obesity.213","Chatelier_gut_obesity.214","Chatelier_gut_obesity.215","Chatelier_gut_obesity.216","Chatelier_gut_obesity.217","Chatelier_gut_obesity.218","Chatelier_gut_obesity.219","Chatelier_gut_obesity.220","Chatelier_gut_obesity.221","Chatelier_gut_obesity.222","Chatelier_gut_obesity.223","Chatelier_gut_obesity.224","Chatelier_gut_obesity.225","Chatelier_gut_obesity.226","Chatelier_gut_obesity.227","Chatelier_gut_obesity.228","Chatelier_gut_obesity.229","Chatelier_gut_obesity.230","Chatelier_gut_obesity.231","Chatelier_gut_obesity.232","Chatelier_gut_obesity.233","Chatelier_gut_obesity.234","Chatelier_gut_obesity.235","Chatelier_gut_obesity.236","Chatelier_gut_obesity.237","Chatelier_gut_obesity.238","Chatelier_gut_obesity.239","Chatelier_gut_obesity.240","Chatelier_gut_obesity.241","Chatelier_gut_obesity.242","Chatelier_gut_obesity.243","Chatelier_gut_obesity.244","Chatelier_gut_obesity.245","Chatelier_gut_obesity.246","Chatelier_gut_obesity.247","Chatelier_gut_obesity.248","Chatelier_gut_obesity.249","Chatelier_gut_obesity.250","Chatelier_gut_obesity.251","Chatelier_gut_obesity.252"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum",2.4800004960001e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75000035000007e-05,2.87000200900141e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.92e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96000078400031e-05,0,0,0,0,0,0,0,8.90000178000035e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30999976900002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49999925000008e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49999560000352e-06,0,0,0.0001393,0,7.30999780700066e-05,4.00000160000064e-06,0,5.69999886000023e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70000462000277e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73000134600027e-05,0,0,0,0,0,0,0,0,0,0,0,0,8.8e-06,1.1100006660004e-05,6.84999863000027e-05,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77999735400185e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_vaginae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000258999974100003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens",0.00376390075278015,0.00158179984182002,0,0.0039822,0.00100000010000001,0.00308929969107003,0.00470150188060075,0.00102169989783001,0.00889990444995222,0.00486709951329005,0,0.00303279878688049,0.00534180160254048,0.00212450106225053,0.00248799825840122,0.000595399821380054,0.00180039927984029,0,0.00362540108762033,0.000917399633040147,0.00379779962022004,0.00125999974800005,0.0131911013191101,0.00271049972895003,0.000786400314560126,0.00098319990168001,0.00223429955314009,0.000213200042640009,0.0055242,0.00106430010643001,0,0.00120690024138005,0.00957710478855239,0.00128739961378012,0.00428910128673039,0.00207529979247002,0.0026735,0.00539120161736049,0,0.000808099919190008,0.0170072982992702,0.00254629847222092,0.00134259986574001,0.00414049792975103,0.00313150093945028,0.00301059939788012,0.00131269986873001,0.00209030041806008,0.00480900336630236,0.00673690202107061,0.0013981,0.00392180117654035,0.0003514,0.000791499920850008,0.00194609980539002,0.000844900084490008,0.00159739968052006,0.00180660036132007,0.00402549959745004,0.0005177,0.00515140206056082,0.0162904,0,0.00505449949455005,0.00306740153370077,0.00147219955834013,0.0043618,0.000754400075440008,0.000580399767840093,0.00100660020132004,0.000421600084320017,0.00162700032540007,0.00128539961438012,0.0012025,0.00295299911410027,0,0.00454469954553004,0.00201060080424032,0.00131080039324012,0.00110949988905001,0.000926800370720148,0.0029807,0,0.00335830067166013,0.000265300026530003,0.0018488992604403,0.0025381994923601,0.0050071979971208,0.0022581,0.00714840214452064,0.00277909944418011,0.0027908,0,0.00291509912547026,0.00136820013682001,0.00396789880963036,0.00280720084216025,0.00208729916508033,0,0.00630440063044006,0.00104299989570001,0.0784881764535471,0.0028896,0.00259789974021003,0.00131449960565012,0.00314979968502003,0.00279699944060011,0.00261139973886003,0.00252689873655063,0.00324169967583003,0.00112560011256001,0.0044148,0.0105709989429001,0.00294709970529003,0.00131119986888001,0.00876370087637009,0.00110989977802004,0.007881,0.0240110096044038,0.00279759944048011,0.00297559940488012,0,0.00293710029371003,0.00147150014715001,0,0.00209819979018002,0.00487930195172078,0,0.00423160042316004,0.00472469858259043,0,0.00399250239550144,0.00321490032149003,0.00152250015225002,0.00299010149505075,0.0010575,0.00185090055527017,0.005662,0.004537,0.00137799944880022,0,0.00099030019806004,0.00926529814694037,0,0.00187729962454008,0.00214609892695054,0.00415689875293037,0,0.00185150018515002,0.018577607431043,0.0097164,0.0129821051928421,0,0.000685999931400007,0.0052165973917013,0.0125055987494401,0.00338340033834003,0.00632710063271006,0.0182130072852029,0.0099338990066101,0.00386970077394015,0.00849529830094034,0.00194029961194008,0.0018518,0,0.00281400056280011,0.00364759781144131,0.0099584970124509,0.00243150024315002,0.0159302095581257,0.0099802960078816,0,0,0,0.00372600037260004,0.00295619970438003,0,0.0094570990542901,0,0.00508279949172005,0.00529359788256085,0.00259440103776042,0.0025977005195401,0.0130593895524884,0.00397819801090099,0.00590169881966024,0,0.00476509904698019,0.00854259743722077,0.00175010070004028,0.011580503474151,1.63999967200007e-05,0,0,0.00605120121024024,0.00321130064226013,0.00141569985843001,0.0048667,0.00791260316504127,0.00229370068811021,0,0.00197750059325018,0.00149949970010006,0.00291320058264012,0.00494860148458045,0.00857149742855077,0.00169759915120042,0.00242319927304022,0,0.00321190032119003,0.00489200146760044,0.0142067985793201,0.000452099909580018,0.0030535018321011,0.0127417936291032,0.00288270057654012,0.000157899905260057,0.00771860617488494,0.00241920024192002,0.00794370238311072,0.00742329777301067,0,0,0.00313570031357003,0.00275289972471003,0.00696879930312007,0.0170564982943502,0.00461390092278019,0.0144296971140606,0.0030975987609605,0.00506009645793248,0.0024491004898201,0.00382360038236004,0.00727340290936116,0.0046578,0.00842599831480034,0.0164404016440402,0.0146127,0.0179167982083202,0.00160479983952002,0.0250116,0.000336300201780121,0.00532589893482021,0.0104386968683909,0.00783450156690031,0.00307489969251003,0.00542589728705136,0,0.00967509709747087,0,0.00518569792572083,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000629000062900006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296200029620003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79999942000006e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234209976579002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265699973430003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157831936867225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145099970980006,0,0,3.05999877600049e-05,0,0.00192270038454008
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10000284000114e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92999882100035e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104759958096017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000397700039770004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08000454000227e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74999797500061e-05,0,0,0,0,0,0,0,0,0,0,0.000182100054630016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified",0,0,0.000288499971150003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025180005036001,0,0,0,0,0,0,0,0,0,0.000709200141840028,0,0,0,0,0,0,0,0,0,0,2.59999974000003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55000131000026e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58000085800009e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40000336000134e-06,0,0,0,0,0,7.70999922900008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93999722400111e-05,0,0,0,1.16999988300001e-05,0,0,0.0002262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96999940600012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214799957040009,0,0,0,0,0.000221200044240009
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI",0,0,0.000266999973300003,0,0,0,0,0,0,0,0.000436699956330004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000419799958020004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704400281760113,0,0,0,0,0,0,0,0,0,0,0,7.4499985100003e-05,0.000601699759320096,0,0,0,0,6.87000068700007e-05,0,0,0,0,0,0,0,0,0,9.91000396400159e-05,0.000203199979680002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166009966798007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63999868000066e-05,0,0,0,0.00012499995000002,0,0.00106880021376004
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta",4.66000093200019e-05,4.39999956000004e-06,0,1.52e-05,0,0,2.16000086400035e-05,0,0,0,6.07999939200006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60000078000023e-06,0,0,0,0,0,0,0,0,0,0,0,0.0010287,0,1.47999985200001e-05,0,0,4.2e-06,0,0,0,0,0,0,0,0,0.000255900102360041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05999958800008e-05,0,0.000380200038020004,2.09999937000019e-06,0,0,5.20000156000047e-06,0,6.46999935300006e-05,0,0,4.90999852700044e-05,0,0,0,0,0,0,0,0,0,0,9.39999906000009e-06,0,0,1.26000012600001e-05,0,0,0,0,0,0,0,0,1.07000021400004e-05,0,2.20000088000035e-06,0,0,0,9.20000368000147e-05,0,0,0,0,0,0,0,0,0,0.000340800102240031,0,0,0,0,0,0,0,0,3.70000148000059e-06,0,0,0,0,0,0,0,2.25000022500002e-05,0,4.74999952500005e-05,0,5.39999892000022e-05,5.39999892000022e-06,0.0003603,5.12000153600046e-05,0,0,0,1.36000013600001e-05,0.000128400077040046,0.000192499923000031,0.000435600087120017,0.000116799918240057,0.000667100066710007,0,0,0.000127199987280001,0,9.00000360000144e-06,2.36999976300002e-05,0,0,6.60000132000026e-06,0.000113699909040073,0,0,0,0,0,0,1.30000039000012e-05,0.00111309977738004,0,0,0,0,7.49999925000008e-06,0,0,0,1.59999904000058e-06,0,0,0,8.72000261600078e-05,0,0,0,3.53000035300004e-05,1.30000013000001e-06,0,1.49999985000001e-06,0,0,6.69999665000168e-06,0,0,0.00010960008768007,0,0.000117200035160011,0,0,9.7499990250001e-05,0,0,0,0,0,0,6.69999732000107e-06,0,0,3.40000034000003e-06,0,0,0,1.12000011200001e-05,0,1.09999989000001e-06,4.46999955300004e-05,0,4.00000240000144e-06,0,0,2.85000057000011e-05,0,2.75999862000069e-05,0,3.19999904000029e-06,7.71000462600278e-05,0,1.01999979600004e-05,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_1_3_56FAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000852599914740009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
