"","Zeller_fecal_colorectal_cancer","Zeller_fecal_colorectal_cancer.1","Zeller_fecal_colorectal_cancer.2","Zeller_fecal_colorectal_cancer.3","Zeller_fecal_colorectal_cancer.4","Zeller_fecal_colorectal_cancer.5","Zeller_fecal_colorectal_cancer.6","Zeller_fecal_colorectal_cancer.7","Zeller_fecal_colorectal_cancer.8","Zeller_fecal_colorectal_cancer.9","Zeller_fecal_colorectal_cancer.10","Zeller_fecal_colorectal_cancer.11","Zeller_fecal_colorectal_cancer.12","Zeller_fecal_colorectal_cancer.13","Zeller_fecal_colorectal_cancer.14","Zeller_fecal_colorectal_cancer.15","Zeller_fecal_colorectal_cancer.16","Zeller_fecal_colorectal_cancer.17","Zeller_fecal_colorectal_cancer.18","Zeller_fecal_colorectal_cancer.19","Zeller_fecal_colorectal_cancer.20","Zeller_fecal_colorectal_cancer.21","Zeller_fecal_colorectal_cancer.22","Zeller_fecal_colorectal_cancer.23","Zeller_fecal_colorectal_cancer.24","Zeller_fecal_colorectal_cancer.25","Zeller_fecal_colorectal_cancer.26","Zeller_fecal_colorectal_cancer.27","Zeller_fecal_colorectal_cancer.28","Zeller_fecal_colorectal_cancer.29","Zeller_fecal_colorectal_cancer.30","Zeller_fecal_colorectal_cancer.31","Zeller_fecal_colorectal_cancer.32","Zeller_fecal_colorectal_cancer.33","Zeller_fecal_colorectal_cancer.34","Zeller_fecal_colorectal_cancer.35","Zeller_fecal_colorectal_cancer.36","Zeller_fecal_colorectal_cancer.37","Zeller_fecal_colorectal_cancer.38","Zeller_fecal_colorectal_cancer.39","Zeller_fecal_colorectal_cancer.40","Zeller_fecal_colorectal_cancer.41","Zeller_fecal_colorectal_cancer.42","Zeller_fecal_colorectal_cancer.43","Zeller_fecal_colorectal_cancer.44","Zeller_fecal_colorectal_cancer.45","Zeller_fecal_colorectal_cancer.46","Zeller_fecal_colorectal_cancer.47","Zeller_fecal_colorectal_cancer.48","Zeller_fecal_colorectal_cancer.49","Zeller_fecal_colorectal_cancer.50","Zeller_fecal_colorectal_cancer.51","Zeller_fecal_colorectal_cancer.52","Zeller_fecal_colorectal_cancer.53","Zeller_fecal_colorectal_cancer.54","Zeller_fecal_colorectal_cancer.55","Zeller_fecal_colorectal_cancer.56","Zeller_fecal_colorectal_cancer.57","Zeller_fecal_colorectal_cancer.58","Zeller_fecal_colorectal_cancer.59","Zeller_fecal_colorectal_cancer.60","Zeller_fecal_colorectal_cancer.61","Zeller_fecal_colorectal_cancer.62","Zeller_fecal_colorectal_cancer.63","Zeller_fecal_colorectal_cancer.64","Zeller_fecal_colorectal_cancer.65","Zeller_fecal_colorectal_cancer.66","Zeller_fecal_colorectal_cancer.67","Zeller_fecal_colorectal_cancer.68","Zeller_fecal_colorectal_cancer.69","Zeller_fecal_colorectal_cancer.70","Zeller_fecal_colorectal_cancer.71","Zeller_fecal_colorectal_cancer.72","Zeller_fecal_colorectal_cancer.73","Zeller_fecal_colorectal_cancer.74","Zeller_fecal_colorectal_cancer.75","Zeller_fecal_colorectal_cancer.76","Zeller_fecal_colorectal_cancer.77","Zeller_fecal_colorectal_cancer.78","Zeller_fecal_colorectal_cancer.79","Zeller_fecal_colorectal_cancer.80","Zeller_fecal_colorectal_cancer.81","Zeller_fecal_colorectal_cancer.82","Zeller_fecal_colorectal_cancer.83","Zeller_fecal_colorectal_cancer.84","Zeller_fecal_colorectal_cancer.85","Zeller_fecal_colorectal_cancer.86","Zeller_fecal_colorectal_cancer.87","Zeller_fecal_colorectal_cancer.88","Zeller_fecal_colorectal_cancer.89","Zeller_fecal_colorectal_cancer.90","Zeller_fecal_colorectal_cancer.91","Zeller_fecal_colorectal_cancer.92","Zeller_fecal_colorectal_cancer.93","Zeller_fecal_colorectal_cancer.94","Zeller_fecal_colorectal_cancer.95","Zeller_fecal_colorectal_cancer.96","Zeller_fecal_colorectal_cancer.97","Zeller_fecal_colorectal_cancer.98","Zeller_fecal_colorectal_cancer.99","Zeller_fecal_colorectal_cancer.100","Zeller_fecal_colorectal_cancer.101","Zeller_fecal_colorectal_cancer.102","Zeller_fecal_colorectal_cancer.103","Zeller_fecal_colorectal_cancer.104","Zeller_fecal_colorectal_cancer.105","Zeller_fecal_colorectal_cancer.106","Zeller_fecal_colorectal_cancer.107","Zeller_fecal_colorectal_cancer.108","Zeller_fecal_colorectal_cancer.109","Zeller_fecal_colorectal_cancer.110","Zeller_fecal_colorectal_cancer.111","Zeller_fecal_colorectal_cancer.112","Zeller_fecal_colorectal_cancer.113","Zeller_fecal_colorectal_cancer.114","Zeller_fecal_colorectal_cancer.115","Zeller_fecal_colorectal_cancer.116","Zeller_fecal_colorectal_cancer.117","Zeller_fecal_colorectal_cancer.118","Zeller_fecal_colorectal_cancer.119","Zeller_fecal_colorectal_cancer.120"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0899996730001e-05,0,0,0,0,3.39e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus",0,0,0.000150099909940054,0,0,0,8.02999919700008e-05,1.44000072000036e-05,0,9.37e-05,0,0,0.000120900012090001,0,0,7.18999712400115e-05,0,0,0,0.000316100031610003,0,0,3.35000067000013e-05,0.000126400012640001,0,0,9.57999808400038e-05,6.56999671500164e-05,3.96999960300004e-05,0.000203799938860018,0,0,0,0,9.79e-05,0,0,0.000178100017810002,1.39999944000022e-05,0,1.84000036800007e-05,0,0.000175699859440112,1.35999945600022e-05,0,3.42000068400014e-05,0,0.00025820005164001,0,1.77000017700002e-05,2.87000028700003e-05,0,0,0,0,0,0,0,0,0,0,0,5.39999892000022e-06,0.000285100057020011,0,3.23999967600003e-05,0,3.28999835500082e-05,0,0,0,0.000322200193320116,0,0,0,7.01999859600028e-05,0,2.66000026600003e-05,0,0,3.05999969400003e-05,0,0,0,1.6e-05,0,0,0,0,1.60000048000014e-05,0,0,0,2.30000184000147e-06,0,0,0,0,3.44000103200031e-05,0.000288499942300012,1.10000022000004e-05,0,0,0,2.91999824800105e-05,0,0,0.000203199959360008,0,0,0,0,0,0,0,0.0001046,2.55999795200164e-05,0,0,0.000764599541240275,5.38e-05
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,7.06999787900064e-05,0,0,0,0,0,0,0,0,0,0,1.79e-05,0,0,0,0,0,0,0,1.95999941200018e-05,0,0,0,0,8.6e-06,0,0,0,0,0,0,0,0,0,0,2.6200005240001e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09999978000004e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00230170023017002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis",0,0,0,0,0,0,0,0,0,0.0001246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39999664000134e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5000015000009e-06,0,0.000822300411150206,4.20999915800017e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000623999875200025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000637999489600408,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus",0,0,9.9999940000036e-07,0,0,0,0,0,0,0,0.00011569996529001,0,0,0,0,0,3.50000035000003e-06,0,0,0,0,3.63e-05,0,6.80000068000007e-06,0,0,3.17999936400013e-05,9.5999952000024e-06,0,7.39999778000067e-05,0,0,0,0,2.84e-05,0,0,0,0,0,0,3.40999897700031e-05,3.5899971280023e-05,0,0,3.22000064400013e-05,0,0,0,0,0,0,0,1.0899996730001e-05,0,0,0,0,0,0,0,0,1.74999965000007e-05,0,0,1.99999980000002e-06,0,0,0,0,0,4.60000276000166e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9999990000002e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69e-05
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59999570000215e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27999686000157e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139100069550035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89999942000012e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24999740000208e-05,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetales_noname|g__Tropheryma|s__Tropheryma_whipplei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72e-05,0,0,0.000301599909520027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_linens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000400399959960004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_massiliense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102200010220001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
