"","metahit","metahit.1","metahit.2","metahit.3","metahit.4","metahit.5","metahit.6","metahit.7","metahit.8","metahit.9","metahit.10","metahit.11","metahit.12","metahit.13","metahit.14","metahit.15","metahit.16","metahit.17","metahit.18","metahit.19","metahit.20","metahit.21","metahit.22","metahit.23","metahit.24","metahit.25","metahit.26","metahit.27","metahit.28","metahit.29","metahit.30","metahit.31","metahit.32","metahit.33","metahit.34","metahit.35","metahit.36","metahit.37","metahit.38","metahit.39","metahit.40","metahit.41","metahit.42","metahit.43","metahit.44","metahit.45","metahit.46","metahit.47","metahit.48","metahit.49","metahit.50","metahit.51","metahit.52","metahit.53","metahit.54","metahit.55","metahit.56","metahit.57","metahit.58","metahit.59","metahit.60","metahit.61","metahit.62","metahit.63","metahit.64","metahit.65","metahit.66","metahit.67","metahit.68","metahit.69","metahit.70","metahit.71","metahit.72","metahit.73","metahit.74","metahit.75","metahit.76","metahit.77","metahit.78","metahit.79","metahit.80","metahit.81","metahit.82","metahit.83","metahit.84","metahit.85","metahit.86","metahit.87","metahit.88","metahit.89","metahit.90","metahit.91","metahit.92","metahit.93","metahit.94","metahit.95","metahit.96","metahit.97","metahit.98","metahit.99","metahit.100","metahit.101","metahit.102","metahit.103","metahit.104","metahit.105","metahit.106","metahit.107","metahit.108","metahit.109"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa",0,0.0004106,0,3e-06,1.57999936800025e-05,2.83e-05,0,0,0,0,6.20000062000006e-06,0,0,0,0.000175499929800028,0,0,0,0,0,0,0.000348600139440056,0,0,0,3.69000147600059e-05,0,2.58999974100003e-05,0,0,0,0,0,0,0,0,0,0,0,3.43000034300003e-05,0,0,0,0,0,0,0,0,0,1.8799992480003e-05,0,0,0,0,2.4000004800001e-06,0,0,1.60999935600026e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000140499971900006,7.09999574000256e-06,0,0,0,0,3.99000039900004e-05,0,0,3.04000152000076e-05,0,0,0,0,3.53000105900032e-05,0.000181599981840002,0.0004147,2.90000087000026e-06,1.59000015900002e-05,0.0002891,0,0,0,5.99e-05,0,0,0,0,0,0,3.47000034700003e-05,0,0,0,2.10999936700019e-05,0.000169999932000027,0,0,1.91999942400017e-05,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified",0,0,0,0,0,0,0,0,0,4.23000084600017e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32000023200002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157099937160025,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82e-05,0,0,0,0,0,0,0,8.72999476200314e-05,0,4.67000140100042e-05,0,0,0,0,0.00011189996643001,0,0,0,0,4.02000281400197e-05,4.81000144300043e-05,0,0,0,1.85000018500002e-05,0,0,0,0,2.5e-06,0,0,0,0,0,0.000100900020180004,0,3.20000064000013e-05,0,0,0,4.9999980000008e-07,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified",0,0,0,0,0,5.06e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38999778300067e-05,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31999966800003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000280400196280137,0,0,0,0,0.000536900053690005,0,0,0,0,0.0001933,0,0,0,0,0,0,0,0,0.000217200130320078,0,0,0,0.000174400087200044,0,1.18999964300011e-05,0.000121100012110001
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens",0,0,0,0,0,2.48e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70000067000007e-06,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis",0.00782489765253071,0,0.000113199977360005,0.0017712,0.0120947951620819,0.0196105,0.00227269954546009,0,0.0146392956082113,0.00341040068208014,0,0.0246749,0,0.00976880293064088,0.00807539676984129,0.00238780023878002,0.00120310072186043,0.00334770033477003,0.000673399865320027,0.0216391064917319,0,0.000461100184440074,0,0.00360139927972014,0,0.0702377280950912,0.0370027037002704,0.00590499940950006,0.0046299,0.00234239929728021,0,0.00721410144282029,0.0163676950896915,0.00362260108678033,0.005557703334622,0,0.00217529956494009,0.0150796984920302,0.0163574032714807,0.00513650051365005,0.00011189996643001,0,0,0.00685739931426007,0.00185389944383017,0,0.00543350108670022,0.00255029897988041,0.00407570081514016,0.000672399731040108,0.0305006969499303,0,0,0.0316562905031129,0.00331660066332013,0.0102683020536604,0.00214930021493002,0.00156299937480025,0,0.00325759934848013,0.00304459908662027,0.00637119872576025,0.00193519961296008,2.99e-05,0,0.00148649970270006,0.00417740167096067,0.0099763980047204,0.000732000146400029,0.000904999819000036,0.0216329956734009,0.050059669964198,0.0175549070219628,0.0055707016712105,0.00874560437280219,0.0164294032858807,0.00217460021746002,3.70000037000004e-05,0.010796396761081,0.00418600209300105,0.0227086022708602,0.0189423037884608,0.0241379,0,0.00977720293316088,0.00222109977789002,0,0,0.00850790085079009,5.08e-05,0.0254614076384223,0.0036178018089009,0.00129100012910001,0.0305155,0.0241521072456322,0,0,0,0.000663899734440106,4.81000096200019e-05,0.159465115946512,0.134977126995425,0,0.0363074036307404,0.0148721955383413,0.00297589880964048,0.000337900168950084,0.0096313,0.0434827869551639,0.0151629015162902
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209599958080008,0,0,0,0,0.000676799864640027,0,0,0,0,0.0002211,0,0,0,0,0,0.00184350110610066,0,0,0,0,0,0,0,0,0.000484199951580005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000422299915540017,0,0,0.00024959995008001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204199938740018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289630115852046,0,0,0.00289190057838012,0,0,0,0,0,0,0.0020277,0,0,0.000340799965920003,0,0,0.00783540078354008,0,0,0,0.000113100011310001,0,0,0,0,0,0,0.0051302010260402,0,0.00283090056618011,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",0,0,0,0,0,0.0004428,0,0,0.00267289919813024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000853299914670009,0,0,0,0,0,0,0,0,0.000160199967960006,0,0,0,0.000858800085880009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275679834592099,0,0,0.00175040087520044,0,0.00159530015953002,0,0,0.00177640088820044,0.00838960083896008,0.0024149004829801,0.0098412,0,0.00207220062166019,0,0.0017998,0,0,0,0.00507660152298046,0.00246530123265062,0.00142390014239001,0.0087738,0.00616880185064055,0.00206450123870074,0,0,0,0,0.00179840017984002,0.0190021038004208,0.00246780148068089,0,0.0033581989925403,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5000038500027e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80000068000007e-06,0.000860600172120034,0,0.00200730020073002,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0.0001318,0,0,0.000139299944280022,5.01000050100005e-05,0,0,0,0.000121700036510011,0,0,0,0,0,0.00173230069292028,0.000134400013440001,0,0,0,0,0,0,0,0,0,0,0.00491989950801005,0,0,0.000325599902320029,0,0,0.000844599915540008,0,0,0,0,0,0,0.000261199973880003,0,0,0.000921399723580083,0.000193900038780008,0,0,0.00166079933568027,0,0,0,0,0,0,0,0.00187269962546007,0,0,0,0,0,0.00136219918268049,0,0,0,0,5.90000059000006e-06,0,0.000879099736270079,0,0,0,0.0118402,0,0,0,0,0,0,0,0.00215310064593019,7.80000390000195e-05,0,1.11e-05,0,0,0,0,0,0,0.00194460019446002,0,0,0,0,0,0,0,0.0118422964473111,0.00144980014498001
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium",0,0.0001343,0,0,0,0.000116,0,0,0,0,0,0,0,0,0,0,0,3.35000033500003e-05,0,0,0,0,0,0,0,1.71000068400027e-05,0,0,0,0,0,0,0,0,0,0,0,0.000174299982570002,0,0.000186300018630002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01999879600024e-05,0,0,0,0,8.30000166000033e-06,0,0,0,0,0,0,0,0,0,3.18999968100003e-05,0.0001008,0,0,0,0,0,0,4.09e-05,0,0,0,0,0,0.0165654033130807,0,0,0,0.000376200037620004,0,0,0,0,0,0
