"","WT2D","WT2D.1","WT2D.2","WT2D.3","WT2D.4","WT2D.5","WT2D.6","WT2D.7","WT2D.8","WT2D.9","WT2D.10","WT2D.11","WT2D.12","WT2D.13","WT2D.14","WT2D.15","WT2D.16","WT2D.17","WT2D.18","WT2D.19","WT2D.20","WT2D.21","WT2D.22","WT2D.23","WT2D.24","WT2D.25","WT2D.26","WT2D.27","WT2D.28","WT2D.29","WT2D.30","WT2D.31","WT2D.32","WT2D.33","WT2D.34","WT2D.35","WT2D.36","WT2D.37","WT2D.38","WT2D.39","WT2D.40","WT2D.41","WT2D.42","WT2D.43","WT2D.44","WT2D.45","WT2D.46","WT2D.47","WT2D.48","WT2D.49","WT2D.50","WT2D.51","WT2D.52","WT2D.53","WT2D.54","WT2D.55","WT2D.56","WT2D.57","WT2D.58","WT2D.59","WT2D.60","WT2D.61","WT2D.62","WT2D.63","WT2D.64","WT2D.65","WT2D.66","WT2D.67","WT2D.68","WT2D.69","WT2D.70","WT2D.71","WT2D.72","WT2D.73","WT2D.74","WT2D.75","WT2D.76","WT2D.77","WT2D.78","WT2D.79","WT2D.80","WT2D.81","WT2D.82","WT2D.83","WT2D.84","WT2D.85","WT2D.86","WT2D.87","WT2D.88","WT2D.89","WT2D.90","WT2D.91","WT2D.92","WT2D.93","WT2D.94","WT2D.95"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383840115152035,0,0,0.0015788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5e-06,0.0001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71999965600007e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.80000588000353e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85000038500004e-05,0,0,0.000175800070320028,0,0,0,0,0,0,1.25e-05,0,0,0,0,0,0,1.98e-05,0,4.23e-05,0,0,0.000144300014430001,1.97999940600018e-05,0,0,1.56999937200025e-05,5.69999886000023e-06,2.64000052800011e-05,2.02999918800032e-05,0,0,0,0,5.64999943500006e-05,7.9e-06,0,0,0,0,0,0,0,0,0,0,7.50000075000007e-05,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39999944000022e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323799935240013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10000042000008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glutamicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012790005116002,0.000295500118200047
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified",0,0,0,0,0,0,0,0,0.000120100024020005,0,0,0,0,0,0.000604999637000218,0.00013840008304005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192100019210002,0,0,0,0,0,0,0,0.000253900101560041,0.0001971,0.000245800073740022,0,0,0,0.000188200056460017,0,0,0.0002005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169499932200027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196999980300002,0,0,0,0.0111576011157601,0.00049149990170002,0.000724500072450007,0,0,0,0,0.000259,0,0.000982000392800157,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia|s__Leifsonia_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156800015680002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17000051700005e-05,0,0,0.000164900065960026,0,0,0,0,0,0,0,0,0,0,0.00077750023325007,0,0,0,0,0,0,0,3.42000034200003e-05,0,0,1.27999974400005e-05,0,0,0,0,0,0,0.000832799666880133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000326200032620003,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa",2.53999974600003e-05,6.46999935300006e-05,0,0,0,0.000109600010960001,0,0,2.03000040600008e-05,0,0,0.000214499978550002,0,2.60000026000003e-06,0,0,4.77999952200005e-05,0,0,0,3.25e-05,0,0.0006832,0,0,0,0,0.000124699987530001,0,0,0,0,0,5.63999718000141e-05,0,0.00209400062820019,0,0,0,0.000111300011130001,0,0,7.60000304000122e-05,0.0001043,0,9.39999906000009e-06,0,0,2.75000082500025e-05,0,0,0,0,0.00130310039093012,0,0,0.0004023,0,0.0001427,0,0.000702699859460028,2.41000024100002e-05,0.000200099939970018,4.13e-05,8.93999821200036e-05,0.000106599957360017,0,1.86000037200007e-05,6.91999723200111e-05,0,0.0001108,0.00043869982452007,4.9499990100002e-05,0,7.05e-05,0,0,0.00069119937792056,3.65999926800015e-05,0,0,0,0,3.21999935600013e-05,0,0.0108828010882801,0,0,0,0.000524900104980021,0,0,0.0002482,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified",0,1.69999983000002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73e-05,0,0.0006474,0,0,0,0,5.41999945800005e-05,0.000169900033980007,0,0,0,0,0,0,0,0,0,0,0.000261500026150003,8.54999914500008e-05,0,0,0,0,0,0,0,9.23000276900083e-05,0,0,0,0,0.00145790043737013,0,0,0.0001873,0,0.0001455,0,0,1.16000011600001e-05,0.000125599962320011,1.95e-05,2.33999953200009e-05,0,0,5.98000119600024e-05,0,0,0.000199,0.00116589953364019,0,0,0,0,0,0,1.40999971800006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89e-05,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139699944120022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0.000372900074580015,0,0,0,0,0,0.000770099537940277,0.000459900275940166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102400020480004,0,0,0,0,0,0,0,0,3.44999965500003e-05,0,0.000182400072960029,0.0004466,0.000459000137700041,0,0,0,0.00022770006831002,0,0,0.00024,0,0,0.000132099973580005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002725,0,6.76999932300007e-05,0,0,0,0,1.12999988700001e-05,0,0,0,0.0311048031104803,0,0.000125300012530001,0.000227800136680082,0,0,0,0,0,0.00140420056168022,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003382,0,0.000493,0,0,0,0,0,0,0,0,3.12000062400012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49e-05,0,0,2.99000089700027e-05,0,0,0.0001207,0,0.0001782,0,0,0,0,0,0,0,0,5.66000113200023e-05,0,0,4.14e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33999933200013e-05,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis",0.00464379953562005,0.0313990968600903,0.0289629913111026,0.0131407078844247,0.00192189980781002,0.00570880057088006,0.0385836038583604,0.0143531971293606,0.00909190181838036,0.0172196982780302,0.0104391906047285,0.0133665986633401,0.0180396018039602,0,0,0.0144070086442052,0,0.000736799705280118,0.012152006076003,0,3.48e-05,0.0198031,0.0379456,0.00337180067436013,0,0.0125411025082205,0.0191282,9.11999908800009e-05,0.00148090029618006,0,0.0208774020877402,0.0616716123343225,1.74000034800007e-05,0.0183019908490046,0.000537700053770005,3.10000093000028e-06,0.00117309988269001,0.0127651,0.0164652065860826,0.0195945019594502,0,0.000458599908280018,0.00774390309756124,0.0002245,1.41000042300013e-05,0,0,0,0,8.1e-05,0.2180449,2.31e-05,0.075489184902163,0.0286202085860626,0.0341740931651814,0.00820729753781074,0.0304209,6.58000131600026e-05,0.0357327,0,0,0.0524174052417405,0.0055902983229105,0.0168348,0.0539666892066622,0,0.119974976005005,0.0597970119594024,0.0518309792676083,0.0789631763110471,0.0205232,9.33999626400149e-05,0.0272979945404011,0.0892022910797709,5.9e-06,0.0525197,0.0230105976989402,0.0319078712829158,0.0193702961259408,0,2.98e-05,0.0139914986008501,0.147278914727891,0.0183534963293007,0.0135138932430534,0,0,0,0.0442871265722759,0.0266671053334211,0.00871870174374035,0.300578369942163,0,0.0656250196875059,0.00230520092208037,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum",0,0,0,0,0,0.0152208015220802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267553053510611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis",0,0,0,0,0.000577299942270006,0,0,0,0,0,0,0,0.00112200011220001,0,0,0,0,0,0.00087930043965022,0.0008062,0,0,0,0,0,0,0,0,0.00108360021672004,0,0.0312608031260803,0,0,0,0,0,0,7.53e-05,0,0,0,0,2.43000097200039e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002081,0,0,0,0,0,0,0,0,0,0.0026262,0.00275579972442003,0,0,0,0,0,0,0,0,0,0.00814169918583008,0,0,0.0012648005059202,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",0,0,0,0,0.000477499952250005,0,0.0137873013787301,0,0,0,0,0,0.00295350029535003,0,0,0.0066553039931824,0,0,0,0.0003927,0,0.0003172,0.0415407,0,0,0.000721100144220029,0.0265514,0,0.0133345026669005,0,0.0115417011541701,0.0314780062956013,0,0,2.52000025200003e-05,0.0121367036410111,0,0,0,0.0135058013505801,0,0.024312495137501,0,0.000293,0,0,0,0,0.000197900059370018,0,0.0062283,0,0.0706998858600228,0,0.0075555984888803,0.000428299871510039,0,0,0,0,0,0,0,0.0002529,0,0,0.00230979953804009,0.00983470196694039,0.018849292460283,0.000968499709450087,0,0.0337027865188854,0,0,0,0.0124082,0,0,0,0,0,0,0.0125082012508201,0.000437799912440018,0,0,0,0,0,0,0.00112370022474004,0,0,0.00719300215790065,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008328,0,0,0,0,0,0,0,0,7.73e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124069975186005,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum",0,0,0,0,0.000157899984210002,0,0,0,0,0,0,0.00458119954188005,0,0,0,0,0,0,0.000186600093300047,0,0.0004603,0,0,0,0,0,0,0,0.0458448091689618,0,0.00232800023280002,0.0161554032310806,0,0.000247299876350062,0,0,0,0,3.70000148000059e-05,0,0,0,5.47000218800088e-05,0,0,0.000441199955880004,0,0,0,0,0,0,0,0,0.00548729890254022,0,0.000169,0,0,0,0,0,0.00900579729826081,0,0,0,0,0.0025625005125001,0,0,0,0,0,0,0,0,0,0,0,0,0.0831825,2.58999974100003e-05,5.57000055700006e-05,0,0.00211439894280053,0,0,0,0,0,0,0,0,1.35000040500012e-05,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium",0,0,9.06999727900082e-05,0,0,0,0.000112200011220001,0,7.36000147200029e-05,1.50999984900002e-05,0,0.000214899978510002,0,0,0,0.000284200170520102,0,0,0,0,0,0,0.0006165,0,0,0,0,0,0,0,0,0,0,0,6.16000061600006e-05,0,0,0,0,0.000224900022490002,0.000451099954890004,0,0.00479660191864077,0,0,0,0,0,0,0,9.55e-05,0,0,0.00416210124863037,0,0,0.0027441,0,0,0,0,2.40000024000002e-05,0,0,0,0.000896799641280143,0,0.000458800091760018,0,0,0.0008842,0,0.00049089990182002,0.00301009969899003,0,0,0,0,0,0,0,0,0.00189180018918002,0,0,0.000602800060280006,0.00023989995202001,0,0,0,0,0,0,0.00180850054255016,0,0.000131100052440021
