,acc,auc,mcc,pres,recall,f1,i,repeat_seed
81,0.629,0.686,0.262,0.637,0.629,0.619,8.0,4096.0
82,0.514,0.467,0.021,0.511,0.514,0.502,8.0,4096.0
83,0.657,0.696,0.344,0.694,0.657,0.636,8.0,4096.0
84,0.706,0.855,0.412,0.706,0.706,0.706,8.0,4096.0
85,0.794,0.872,0.589,0.795,0.794,0.794,8.0,4096.0
86,0.765,0.713,0.533,0.768,0.765,0.764,8.0,4096.0
87,0.441,0.554,-0.118,0.441,0.441,0.441,8.0,4096.0
88,0.559,0.692,0.12,0.561,0.559,0.555,8.0,4096.0
89,0.647,0.696,0.303,0.656,0.647,0.642,8.0,4096.0
90,0.6,0.699,0.203,0.603,0.6,0.599,9.0,8192.0
91,0.714,0.768,0.428,0.714,0.714,0.714,9.0,8192.0
92,0.571,0.618,0.152,0.589,0.571,0.537,9.0,8192.0
93,0.657,0.758,0.372,0.729,0.657,0.623,9.0,8192.0
94,0.588,0.651,0.178,0.589,0.588,0.587,9.0,8192.0
95,0.529,0.675,0.059,0.53,0.529,0.528,9.0,8192.0
96,0.647,0.789,0.415,0.793,0.647,0.597,9.0,8192.0
97,0.618,0.661,0.246,0.629,0.618,0.609,9.0,8192.0
98,0.618,0.578,0.258,0.642,0.618,0.601,9.0,8192.0
99,0.618,0.775,0.239,0.621,0.618,0.615,9.0,8192.0
