,acc,auc,mcc,pres,recall,f1,i,repeat_seed
31,0.833,0.944,0.667,0.833,0.833,0.833,3.0,64.0
32,0.87,0.985,0.768,0.898,0.87,0.868,3.0,64.0
33,0.826,0.871,0.652,0.826,0.826,0.826,3.0,64.0
34,0.739,0.886,0.477,0.739,0.739,0.739,3.0,64.0
35,0.87,0.939,0.768,0.898,0.87,0.868,3.0,64.0
36,0.826,0.841,0.652,0.826,0.826,0.826,3.0,64.0
37,0.913,0.985,0.84,0.926,0.913,0.913,3.0,64.0
38,0.739,0.879,0.477,0.739,0.739,0.739,3.0,64.0
39,0.783,0.902,0.589,0.805,0.783,0.78,3.0,64.0
40,0.958,0.979,0.92,0.962,0.958,0.958,4.0,128.0
41,0.792,0.875,0.585,0.794,0.792,0.791,4.0,128.0
42,0.826,0.886,0.652,0.826,0.826,0.826,4.0,128.0
43,0.913,1.0,0.837,0.925,0.913,0.912,4.0,128.0
44,0.783,0.841,0.633,0.851,0.783,0.774,4.0,128.0
45,0.913,0.977,0.826,0.913,0.913,0.913,4.0,128.0
46,0.783,0.955,0.589,0.805,0.783,0.78,4.0,128.0
47,0.87,0.985,0.742,0.873,0.87,0.87,4.0,128.0
48,0.87,0.902,0.742,0.873,0.87,0.87,4.0,128.0
49,0.739,0.856,0.489,0.748,0.739,0.738,4.0,128.0
50,0.792,0.924,0.585,0.794,0.792,0.791,5.0,256.0
51,0.833,0.944,0.667,0.833,0.833,0.833,5.0,256.0
52,0.826,0.947,0.652,0.826,0.826,0.826,5.0,256.0
53,0.783,0.947,0.568,0.786,0.783,0.783,5.0,256.0
54,0.913,0.955,0.837,0.925,0.913,0.912,5.0,256.0
55,0.957,1.0,0.917,0.96,0.957,0.957,5.0,256.0
56,0.826,0.856,0.664,0.837,0.826,0.825,5.0,256.0
57,0.783,0.833,0.589,0.805,0.783,0.78,5.0,256.0
58,0.783,0.894,0.589,0.805,0.783,0.78,5.0,256.0
59,0.826,0.939,0.664,0.837,0.826,0.825,5.0,256.0
60,0.875,0.944,0.753,0.878,0.875,0.875,6.0,1024.0
61,0.792,0.889,0.642,0.853,0.792,0.782,6.0,1024.0
62,0.87,0.977,0.742,0.873,0.87,0.87,6.0,1024.0
63,0.783,0.909,0.589,0.805,0.783,0.78,6.0,1024.0
64,0.826,0.864,0.652,0.826,0.826,0.826,6.0,1024.0
65,0.783,0.848,0.589,0.805,0.783,0.78,6.0,1024.0
66,0.87,0.977,0.768,0.898,0.87,0.868,6.0,1024.0
67,0.87,0.977,0.768,0.898,0.87,0.868,6.0,1024.0
68,0.87,0.955,0.768,0.898,0.87,0.868,6.0,1024.0
69,0.87,0.947,0.742,0.873,0.87,0.87,6.0,1024.0
70,0.792,0.931,0.585,0.794,0.792,0.791,7.0,2048.0
71,0.75,0.799,0.5,0.75,0.75,0.75,7.0,2048.0
72,0.87,0.939,0.763,0.896,0.87,0.867,7.0,2048.0
73,0.87,0.955,0.74,0.872,0.87,0.869,7.0,2048.0
74,0.913,0.992,0.84,0.926,0.913,0.913,7.0,2048.0
75,0.696,0.811,0.389,0.696,0.696,0.694,7.0,2048.0
76,0.783,0.864,0.589,0.805,0.783,0.78,7.0,2048.0
77,0.913,0.992,0.826,0.913,0.913,0.913,7.0,2048.0
78,0.826,0.947,0.699,0.872,0.826,0.822,7.0,2048.0
79,0.913,0.947,0.826,0.913,0.913,0.913,7.0,2048.0
80,0.792,0.84,0.585,0.794,0.792,0.791,8.0,4096.0
81,0.792,0.903,0.602,0.811,0.792,0.788,8.0,4096.0
82,0.783,0.879,0.565,0.784,0.783,0.782,8.0,4096.0
83,0.826,0.917,0.691,0.87,0.826,0.819,8.0,4096.0
84,0.957,0.97,0.917,0.96,0.957,0.957,8.0,4096.0
85,0.87,0.894,0.742,0.873,0.87,0.87,8.0,4096.0
86,0.913,0.962,0.826,0.913,0.913,0.913,8.0,4096.0
87,0.826,0.917,0.652,0.826,0.826,0.826,8.0,4096.0
88,0.87,0.962,0.742,0.873,0.87,0.87,8.0,4096.0
89,0.87,0.955,0.742,0.873,0.87,0.87,8.0,4096.0
90,0.917,0.924,0.845,0.929,0.917,0.916,9.0,8192.0
91,0.875,0.91,0.775,0.9,0.875,0.873,9.0,8192.0
92,0.87,0.939,0.742,0.873,0.87,0.87,9.0,8192.0
93,0.826,0.894,0.664,0.837,0.826,0.825,9.0,8192.0
94,0.87,0.962,0.742,0.873,0.87,0.87,9.0,8192.0
95,0.652,0.788,0.334,0.678,0.652,0.644,9.0,8192.0
96,0.913,0.977,0.826,0.913,0.913,0.913,9.0,8192.0
97,0.739,0.826,0.489,0.748,0.739,0.738,9.0,8192.0
98,0.913,0.977,0.826,0.913,0.913,0.913,9.0,8192.0
99,0.87,0.947,0.768,0.898,0.87,0.868,9.0,8192.0
