,auc,mcc,pres,recall,f1,i,repeat_seed
55,0.657,0.228,0.614,0.614,0.613,5.0,256.0
56,0.758,0.41,0.705,0.705,0.704,5.0,256.0
57,0.731,0.228,0.615,0.614,0.614,5.0,256.0
58,0.644,0.137,0.569,0.568,0.568,5.0,256.0
59,0.692,0.18,0.591,0.591,0.591,5.0,256.0
60,0.733,0.365,0.683,0.682,0.681,6.0,1024.0
61,0.682,0.233,0.62,0.614,0.609,6.0,1024.0
62,0.874,0.545,0.773,0.773,0.773,6.0,1024.0
63,0.845,0.501,0.751,0.75,0.75,6.0,1024.0
64,0.57,0.0,0.5,0.5,0.5,6.0,1024.0
65,0.793,0.456,0.729,0.727,0.727,6.0,1024.0
66,0.601,0.138,0.569,0.568,0.566,6.0,1024.0
67,0.694,0.18,0.591,0.591,0.591,6.0,1024.0
68,0.822,0.407,0.704,0.705,0.704,6.0,1024.0
69,0.723,0.324,0.664,0.659,0.659,6.0,1024.0
70,0.612,0.183,0.592,0.591,0.59,7.0,2048.0
71,0.674,0.321,0.662,0.659,0.657,7.0,2048.0
72,0.574,0.185,0.594,0.591,0.588,7.0,2048.0
73,0.719,0.274,0.638,0.636,0.636,7.0,2048.0
74,0.791,0.327,0.668,0.659,0.655,7.0,2048.0
75,0.777,0.41,0.705,0.705,0.704,7.0,2048.0
76,0.779,0.327,0.668,0.659,0.655,7.0,2048.0
77,0.812,0.498,0.75,0.75,0.75,7.0,2048.0
78,0.692,0.319,0.66,0.659,0.659,7.0,2048.0
79,0.812,0.324,0.672,0.659,0.648,7.0,2048.0
80,0.756,0.283,0.647,0.636,0.629,8.0,4096.0
81,0.709,0.228,0.614,0.614,0.613,8.0,4096.0
82,0.659,0.183,0.592,0.591,0.59,8.0,4096.0
83,0.665,0.274,0.638,0.636,0.636,8.0,4096.0
84,0.702,0.364,0.682,0.682,0.682,8.0,4096.0
85,0.81,0.548,0.775,0.773,0.772,8.0,4096.0
86,0.822,0.413,0.708,0.705,0.703,8.0,4096.0
87,0.778,0.478,0.749,0.727,0.724,8.0,4096.0
88,0.81,0.362,0.682,0.682,0.682,8.0,4096.0
89,0.733,0.384,0.7,0.682,0.678,8.0,4096.0
90,0.702,0.277,0.641,0.636,0.633,9.0,8192.0
91,0.698,0.365,0.683,0.682,0.681,9.0,8192.0
92,0.597,0.137,0.568,0.568,0.568,9.0,8192.0
93,0.762,0.274,0.638,0.636,0.636,9.0,8192.0
94,0.8,0.462,0.735,0.727,0.725,9.0,8192.0
95,0.727,0.228,0.614,0.614,0.613,9.0,8192.0
96,0.75,0.273,0.636,0.636,0.636,9.0,8192.0
97,0.762,0.545,0.773,0.773,0.773,9.0,8192.0
98,0.76,0.407,0.704,0.705,0.704,9.0,8192.0
99,0.785,0.458,0.73,0.727,0.727,9.0,8192.0
