,acc,auc,mcc,pres,recall,f1,i,repeat_seed
35,0.647,0.758,0.303,0.656,0.647,0.642,3.0,64.0
36,0.618,0.675,0.239,0.621,0.618,0.615,3.0,64.0
37,0.588,0.668,0.178,0.589,0.588,0.587,3.0,64.0
38,0.559,0.588,0.12,0.561,0.559,0.555,3.0,64.0
39,0.706,0.765,0.415,0.709,0.706,0.705,3.0,64.0
40,0.6,0.605,0.199,0.603,0.6,0.593,4.0,128.0
41,0.714,0.742,0.433,0.718,0.714,0.714,4.0,128.0
42,0.714,0.82,0.429,0.716,0.714,0.713,4.0,128.0
43,0.6,0.68,0.198,0.6,0.6,0.598,4.0,128.0
44,0.529,0.606,0.059,0.53,0.529,0.528,4.0,128.0
45,0.765,0.82,0.533,0.768,0.765,0.764,4.0,128.0
46,0.706,0.699,0.415,0.709,0.706,0.705,4.0,128.0
47,0.676,0.754,0.369,0.693,0.676,0.669,4.0,128.0
48,0.647,0.737,0.294,0.647,0.647,0.647,4.0,128.0
49,0.706,0.682,0.415,0.709,0.706,0.705,4.0,128.0
50,0.629,0.748,0.256,0.628,0.629,0.628,5.0,256.0
51,0.629,0.69,0.257,0.631,0.629,0.625,5.0,256.0
52,0.686,0.758,0.373,0.69,0.686,0.683,5.0,256.0
53,0.714,0.794,0.429,0.716,0.714,0.713,5.0,256.0
54,0.529,0.609,0.059,0.53,0.529,0.528,5.0,256.0
55,0.735,0.751,0.478,0.743,0.735,0.733,5.0,256.0
56,0.794,0.813,0.589,0.795,0.794,0.794,5.0,256.0
57,0.618,0.668,0.239,0.621,0.618,0.615,5.0,256.0
58,0.618,0.692,0.236,0.618,0.618,0.617,5.0,256.0
59,0.706,0.817,0.412,0.706,0.706,0.706,5.0,256.0
60,0.686,0.778,0.37,0.686,0.686,0.685,6.0,1024.0
61,0.429,0.513,-0.149,0.426,0.429,0.426,6.0,1024.0
62,0.743,0.719,0.485,0.743,0.743,0.742,6.0,1024.0
63,0.6,0.598,0.204,0.609,0.6,0.586,6.0,1024.0
64,0.647,0.74,0.296,0.649,0.647,0.646,6.0,1024.0
65,0.794,0.882,0.598,0.804,0.794,0.793,6.0,1024.0
66,0.471,0.529,-0.059,0.47,0.471,0.469,6.0,1024.0
67,0.735,0.813,0.478,0.743,0.735,0.733,6.0,1024.0
68,0.853,0.889,0.707,0.854,0.853,0.853,6.0,1024.0
69,0.765,0.806,0.533,0.768,0.765,0.764,6.0,1024.0
70,0.686,0.758,0.382,0.7,0.686,0.678,7.0,2048.0
71,0.8,0.856,0.623,0.825,0.8,0.795,7.0,2048.0
72,0.6,0.703,0.199,0.6,0.6,0.6,7.0,2048.0
73,0.657,0.739,0.314,0.658,0.657,0.655,7.0,2048.0
74,0.618,0.699,0.246,0.629,0.618,0.609,7.0,2048.0
75,0.559,0.588,0.12,0.561,0.559,0.555,7.0,2048.0
76,0.647,0.664,0.296,0.649,0.647,0.646,7.0,2048.0
77,0.765,0.803,0.529,0.765,0.765,0.765,7.0,2048.0
78,0.735,0.799,0.478,0.743,0.735,0.733,7.0,2048.0
79,0.559,0.678,0.12,0.561,0.559,0.555,7.0,2048.0
80,0.686,0.755,0.373,0.687,0.686,0.686,8.0,4096.0
81,0.686,0.732,0.373,0.69,0.686,0.683,8.0,4096.0
82,0.571,0.592,0.14,0.571,0.571,0.567,8.0,4096.0
83,0.686,0.699,0.37,0.686,0.686,0.685,8.0,4096.0
84,0.735,0.789,0.478,0.743,0.735,0.733,8.0,4096.0
85,0.794,0.896,0.598,0.804,0.794,0.793,8.0,4096.0
86,0.735,0.737,0.471,0.736,0.735,0.735,8.0,4096.0
87,0.588,0.644,0.178,0.589,0.588,0.587,8.0,4096.0
88,0.618,0.682,0.236,0.618,0.618,0.617,8.0,4096.0
89,0.588,0.647,0.178,0.589,0.588,0.587,8.0,4096.0
90,0.686,0.739,0.37,0.686,0.686,0.685,9.0,8192.0
91,0.686,0.781,0.37,0.686,0.686,0.685,9.0,8192.0
92,0.6,0.647,0.198,0.6,0.6,0.598,9.0,8192.0
93,0.714,0.794,0.45,0.74,0.714,0.704,9.0,8192.0
94,0.588,0.668,0.176,0.588,0.588,0.588,9.0,8192.0
95,0.559,0.644,0.118,0.559,0.559,0.558,9.0,8192.0
96,0.794,0.872,0.615,0.822,0.794,0.79,9.0,8192.0
97,0.647,0.682,0.294,0.647,0.647,0.647,9.0,8192.0
98,0.588,0.543,0.2,0.613,0.588,0.564,9.0,8192.0
99,0.706,0.865,0.424,0.718,0.706,0.702,9.0,8192.0
